項目別,意味別,備考,見出し,,音韻,トーン,品詞,ページ,分類,意味,同義語など,活用,語源,音変化,関連語,追加情報,例文１,訳１,例文２,訳２,例文３,訳３,,,,,,,,,,,,,,,,
497,1,,きびさん,,[kibisaN],A,(形容詞),102,,見事だ。合致して美しい様子などに。,,,,,,,【例】どぅいぬ はなんか゚ きびさん,〈ユリの花が見事だ〉,,,,,,,,,,,,,,,,,,,,
498,1,,きぶんち,,[kibuNCi],A,(名詞),102,,煙(けむり)。,,,(語源)沖縄方言 キブシ /(1)kibusi/ に対応。,[kebusi>kebuNsi>kibuNCi],(関連用語)きぶんち  まんぎらん〈騒ぎ立てる〉,,【例】たぶぐぬ きぶんちや どぅんき ばらさんでぃどー,〈たばこの煙は体に悪いらしいよ〉,わたかやんでぃ うむりゃ ぶらぬんき  ない きぶんちいやんでぃ んどぅ ‘とぅ わたん,〈いらっしゃったかと思 えばいなくなる「煙おじさん」という人がいらっしゃった〉,,,,,,,,,,,,,,,,,,
499,1,,きぶんつぁん,,[kibuNCaN],,(形容詞),102,,煙たい。煙のために息苦しい。また、目を開けていられない。,,,,,,,【例】てぃむぬ  からてぃ=ぶらぬゆんがら はがら むいらぬ きぶんつぁぬ,〈薪が乾いてないのでしっかりと燃えず煙たい〉,,,,,,,,,,,,,,,,,,,,
500,1,,きみるん,,[kimir-],A,(動詞),102,,決める。,,,(語源)日本語キメル〈決める〉に対応。 ,[kime->kime(r)->kimir-],,,【例】だい きみるん,〈値段を決める〉,どぅみすいぬ ひゅーり  きみるん,〈結婚式の日取りを決める〉,,,,,,,,,,,,,,,,,,
501,1,,きむや,,[kimuya],,(名詞),102,,霧雨(きりさめ)。こぬか雨。,,,,,,,【例】ちゆ ういてぃ きむや んでぃ=ぶんす や,〈露が下りてこぬか雨が出てきたよ〉,,,,,,,,,,,,,,,,,,,,
502,1,,きゃｎき゚,,[kyaŋi],A,(名詞),103,,イヌマキ。,,,(語源)沖縄方言チャー ギ /(1)cyaagi/ に対応。,[keyage>keyaŋ e>kyaŋe>kyaŋi],,,【例】だーぬ ひらんきや ひのき きゃんき゚んたんか゚どぅ うぶ さぐ ‘かり=ぶたる,〈家の柱にはヒノキ、イヌマキなどが多く使われていた〉,きゃんき゚ いぐらてぃ あんか゚ どぅみ=んにんに,〈イヌマキがいくらある か数えてごらん〉,,,,,,,,,,,,,,,,,,
503,1,,きゃｎき゚るん,,[kyaŋir-],B,(動詞),103,,蹴る。,,,(語源)ケアゲル〈蹴 上げる〉に対応するか。,[ke'age->ke'aŋe(r)->kyaŋer->kyaŋir-],,,【例】はんし ボー ル きゃんき゚,〈足でボールを蹴った〉,うぬ ボー ルや までぃ きゃんき゚んな,〈そのボー ルはまだ蹴るな〉,,,,,,,,,,,,,,,,,,
504,1,,きゃ-とぅない,,[kyatunai],C,(名詞),103,,隣近所。〈すぐ隣〉は「だー-とぅない」。,〔同〕とぅないさとぅ,,,,,,【例】きゃ-とぅ ない ‘とぅ かたん,〈隣近所の人と親しい〉,,,,,,,,,,,,,,,,,,,,
505,1,,きゃぶぐん,,[kyabug-],A,(動詞),103,,大胆に伐(か)る。,,,,,,,【例】うんにぬ むぬんた きゃぶてぃ= ‘かってぃり,〈こんな連中は伐り払ってしまえ〉,,,,,,,,,,,,,,,,,,,,
506,1,,きゃん,1,[kyas-],A,(動詞),103,,消す。,,,(語源)日本 語ケス〈消す〉に対応。,[*keyas->kyas-],,,【例】でぃー きゃし=うとぅぎ,〈字を消しておきなさい〉,,,,,,,,,,,,,,,,,,,,
507,1,,きゃん,2,[kyaN],C,(形容詞),103,,痒(かゆ)い。,,,(語源)日本語カユイ〈痒い〉に対応。,[kayusaN>ka isaN>kehaN>kyaN],,,【例】どぅび どぅっとぅ ぬんに ししらり きゃーぬ なら ぬん,〈昨晩は夜っぴて蚤にたかられかゆくてたまらない〉,くちぶに きゃー どぅ=ある,〈背中がかゆい〉,,,,,,,,,,,,,,,,,,
508,1,,ぎら,,[gira],C,(名詞),103,,シャコガイ。,,,,,,,【例】ぎら からすんき きろ,〈シャコガイ(の身)を塩辛に仕込もう〉,,,,,,,,,,,,,,,,,,,,
509,1,,きらん,,[kiras-],B,(動詞),103,,ひっくり返す。,,,(語源)日本語カエル〈返る〉を他動詞化したカエラスに対応。,[kaweras->ka'eras->keeras->kiras-],,,【例】てんぷら うてぃたや きらし だぎ,〈てんぷらが浮いたらひっくり返して揚げなさい〉,,,,,,,,,,,,,,,,,,,,
510,1,,〜きるん,,[kir-],A,(助動詞),104,,~する。名詞に接続して動詞化する。動詞「きるん」が助動詞化したもの。/,,,,,,,【例】しくん=きるん,〈準備する〉,しゃな=きるん,〈喜ぶ(<嬉しさする)〉,ばた だみどぅ=きる,〈腹が痛む〉,,,,,,,,,,,,,,,,
512,1,,きるん,2,[kis-],B,(動詞),104,,(鍬で)耕す。,,,(語源)日本語カエスに対応。,[kayes->ka'es->kees->kis-],,,【例】たー きしんでぃ ひゅんさい,〈田を耕しに行ったよ〉,はたぎ ぶる きしゃな?,〈畑は全部耕したか〉,,,,,,,,,,,,,,,,,,
513,1,,きるん,3,[kir-], ,(動詞),104,,蹴る。,,,,,,,【例】はんし ボー ル きり,〈足でボールを蹴れ〉,,,,,,,,,,,,,,,,,,,,
514,1,,‘きるん,1,[Kir-],A,(動詞),104,,漬ける。,,,(語源)日本語ツケル〈漬け る〉に対応。,[tuke(r)->cike(r)->siKer->Kir-],,,【例】ひる ふるさたんき ‘きるん,〈ニンニクを黒糖に漬ける〉,む んぬく さぎんき ‘きゃん,〈山桃を泡盛に漬けた〉,ひる かみ とぅち  ‘きー あん,〈ニンニクを甕にいっぱい漬けてある〉,,,,,,,,,,,,,,,,
515,1,,‘きるん,2,[Kir-],A,(動詞),105,,(底が)抜ける。,,,,,,,【例】んび ‘きー ならぬんすや,〈底が抜けてどうにもならない。物が抜けていく様子。たまらない様子〉,くぬ きないや んび ‘きー ならぬんすや,〈この家庭は底が抜けてどうにもならない(お金が貯まらない)〉,,,,,,,,,,,,,,,,,,
516,1,,きんぐい,,[kiNgui],,(名詞),105,,狂言(きょうげん)。芝居。、つまり、滑稽、諧謔的で大いに笑わせる。また移入狂言と島狂言の二つに大別でき、『移入狂言は「馴れない言葉」を使って演じるところに妙味があって面白い』と宮良保全は指摘する。比川を含む各集落が保持する狂言は(2)6点ある。,,,,,,(文化的・民俗学的背景)内容によって「じーぬ-きんぐい」と「ばらーし-きんぐい」に分けられる。「じー」は儀礼的なもの。「ばらし」は〈笑わせる〉,【例】 あ ん か゚   い や や   む ら ぬ   き ん ぐ い ぬ   ち すどぅ あたる,〈私の父は村の狂言の師匠だった〉,,,,,,,,,,,,,,,,,,,,
517,1,,きんだぐに,,[kiNdaguni],A,(名詞),105,,ニンジン〈黄大根〉の転じたもの。,,,,,,,【例】きんだぐにや ちま-きんだぐにんか゚ どぅ まーるんでゃー,〈ニンジンは島ニンジンがおいしいなあ(おいしいね)〉,,,,,,,,,,,,,,,,,,,,
518,1,,きんどぅん,,[kiNd-],A,(動詞),105,,(1)(木や石を)削(けず)る。,,,,,,,【例】いんぴつ きんでぃ=とぅらい,〈鉛筆を削ってあげなさい〉,てゅぬし きー きんどぅんでぃどぅ=ぶる,〈手斧で木材 を削ろうとしている〉,きぬ まんか゚い いちぬ まんか゚いや きんでぃてぃ ん なりるんか゚ ‘とぅぬ まんか゚いむぬや なにぬん,〈木の曲がり石の曲が りは削っても直せるが人間の曲がった者は直せない。(『与那国のことわざ』 より)〉,,,,,,,,,,,,,,,,
518,2,,きんどぅん,,[kiNd-],A,(動詞),105,,(髪を)梳く。,,,(語源)日本語 ケズルに対応。,[kezur->keNd->kiNd-],,,【例】からん きんどぅん,〈髪を梳く〉,,,,,,,,,,,,,,,,,,,,
519,1,,くい,,[kui],C,(名詞),105,,声。,,,(語源)日本語コエ〈声〉に 対応。,[kowe>ko'e>kui],,,【例】‘とぅぬ まいばらんき とぅんでぃんか゚しや うぶ-くいし むぬんどぅ=くとぅど,〈人の前に出たら大声で話すことだよ〉,くい ‘かみ=とぅらし=わいんに,〈声(歌)を聞かせてください〉,,,,,,,,,,,,,,,,,,
520,1,,ぐい,,[gui],C,(名詞),106,,歌の節回し。歌いかた。,,,,,,,【例】 ぐ い や   で ぃ ぎ ど ぅ=ぶ る ,〈節回しが上手だ〉,うたに ぐい みぬんすや,〈歌に味気がないね〉,,,,,,,,,,,,,,,,,,
521,1,,くいとぅ-たたし,,[kuiTutaTasi], ,(名詞),106,,結納の条件が整うと、男性側は仲人を立て、嫁の家と嫁の親戚の家にあいさつに行き、両家で小宴があった。これを「乞人立たし」と言い、結納の意。,,,,,,,【例】 んかちや ゆいのうんでぃ みぬたん くいとぅ-たたしんか゚ ちむば び んがや みぬんか゚ぬ だんき かゆい=ぶたる,〈昔は結納はなく「くいとぅたたし」,〈乞人立たし〉が済むと、男は(自由に)女の家に通っていた〉,(関連用語)なが-たてぃ,〈仲人〉,にだ-くやし,〈寝床運び。女の家で寝泊まり しているうちに子が出来て、男の家に移ること〉,にだむてぃなし,〈嫁入り。 内輪でする結婚式。寝床が移動することからの転義〉,,,,,,,,,,,,,
522,1,,くー,1,[ku], ,(名詞),106,,線香。,,,(語源)日本語コウ〈香〉に対応。,[kau>koo>ku],,,【例】くーぬ はな さてぃ あびゃんす にんか゚い とぅいどぅ=ぶ る=はでぃど,〈線香の花が咲いてきれいだね、願いごとが通っているはずだよ〉,,,,,,,,,,,,,,,,,,,,
523,1,,くー,2,[ku],A,(指示詞),106,,これ。「うー」よりも話し手に近いところを指す。,,,(語源)日本語コに対応。,,,,【例】 く ー ん か゚ ど ぅ   ま ち   あらぬかや,〈これがいいんじゃないの〉,くーがら いらび とぅり,〈この中 から選び取りなさい〉,,,,,,,,,,,,,,,,,,
524,1,,‘くー,,[Ku],,(名詞),106,,肺。,,,(語源)古語フクに対応。,,,,【例】うちぬ ‘くー わーぬ ‘くー ちゃんぷるー きてぃ まーんど,〈牛の肺、豚の肺は炒め物にするとおいしいよ〉,,,,,,,,,,,,,,,,,,,,
525,1,,くー　きるん,,[ku+kir-],,(連語),106,,繕(つくろ)う。接ぐ。,,,,,,,【例】んなに さぎどぅ=ぶりゃ くー きー=うとぅ ぎ,〈着物が破れているので繕っておきなさい〉,,,,,,,,,,,,,,,,,,,,
526,1,例文なし,くぐぬが,,[kugunuga],B,(数詞),107,,九日。,,,(語源)日本語ココノカに対応。,[kokonoka>kogonoga>kugunuga],,,,,,,,,,,,,,,,,,,,,,,,
527,1,例文なし,くぐぬたいんとぅ,,[kugunuTaiNTu],,(数詞),107,,九人。,,,(語源)ココノタリビトに対応。,[kokonotaribito>kogonoTaiNTo>kugunu TaiNTu],,,,,,,,,,,,,,,,,,,,,,,,
528,1,,くぐぬち,,[kugunuCi],B,(数詞),107,,(1)九。九つ。,,,,,,,【例】くぐぬち あん,〈九つある〉,あがみてぃんたんき はでぃ んだんき゚ まいに ある かち くぐぬち とぅらし=わり,〈子供たちに配 るので前にあるお菓子を九つください〉,,,,,,,,,,,,,,,,,,
528,2,,くぐぬち,,[kugunuCi],B,(数詞),107,,九歳。,,,(語源)日本語ココノ ツ〈九つ〉に対応。,[kokonotu>kogonoci>kugunuCi],,,【例】うぬ あがみや く とぅち くぐぬち なるん,〈この子は今年九歳になる〉,,,,,,,,,,,,,,,,,,,,
529,1,,ぐさん,,[gusaN],C,(名詞),107,,杖(つえ)。,,,(語源)沖縄方言グーシャン/(0)guusyaN/に対応。関 連用語)たぎぐさん〈竹の杖〉/きーぐさん〈木の杖〉,[gosyani>gusaN(],,,【例】ぐさん ‘てぃーてぃ あんびてぃ あいぐ,〈杖をついて遊んできた〉,,,,,,,,,,,,,,,,,,,,
530,1,,くさんだぎ,,[kusaNdagi],,(名詞),107,〔植物〕,ホテイチク。竹の一種。田畑の周囲などに見られる。幹は強くて粘りがあり釣り竿などに使う。,,,(語源)沖縄方言クサンダキ /(1)kusaNdaki/ に対応。,[kosaNdake>kosaNdage>kusa Ndagi],,,【例】くさんだぎぬ たぎぬんぱや あらーぐ  まーん,〈ホテイチクのタケノコ(筍)はとてもおいしいよ〉,くさんだぎや  つぁだぎとぅ んに=ぶんか゚ いびたてぃ まいさびてぃ ちん だばるゆ んがら んぶぐんき ‘かい=ぶたる,〈ホテイチクはリュ ウキュ ウチクと似 ているが、やや大きく幹は強くて粘りがあるので、釣り竿に使っていた〉,,,,,,,,,,,,,,,,,,
531,1,,くす,,[kusu],C,(名詞),107,〔植物〕,唐辛子(トウガラシ)。,,,(語源)日本語コショ ウ〈胡椒〉に対応。,[kosyoo>kusu],,,【例】なま-とぅぶとぅ かつぬ さしみや すゆ かぎ くす はんてぃてぃ はたや まーんどー,〈生豆腐と鰹の刺身は醤油をかけ唐辛子をはじいて食べるとおいしいよ〉,ほーっ、うんき ん どぅんすや なんたんき くす はんくにどぅ ぶる,〈ほーっ、こいつに忠告してもナンタ浜の海に唐辛子をはじくようなものだ。(愛想づかしの表現)〉,,,,,,,,,,,,,,,,,,
532,1,,〜くた,,[kuTa],,(助詞),108,,(~に)なるまで。「くた」〈来るまで〉が文法化した形式。,,,,,,,【例】にんさぐ くた あんびたん,〈遅くまで遊んだ〉, ‘とぅむてぃぬ いー はぬがらや つま=くた むたぬんど,〈朝ご飯を食べないと昼まで持たないよ〉,んだ くま たや うま=くたどぅ あんす。 したた ちまいよ,〈あなたの担当分はここ までだよ。さっさと終えてね〉,とぅないぬ どぅみや くんてぃ あんす や、‘とぅむてぃがら どぅる=くた はたぎ しかま きー,〈隣のお嫁さ んは根気があるね。朝から晩まで畑仕事をしているよ〉,,,,,,,,,,,,,,
533,1,,くたんでぃるん,,[kuTaNdir-],B,(動詞),108,,疲労困憊(ひろうこんぱい)している。体の具合が悪い。,,,(語源)日本語クタブレル〈草臥れる〉に対応。,[kutabure->kuTaNde(r)->kuTaNdir-],,,【例】くたんでぃ み ぬな? どぅる にんさぐた しかま きーぶたんか゚,〈疲れはないか?(引きずってないか)夜遅くまで仕事をしていたけど〉,,,,,,,,,,,,,,,,,,,,
534,1,,くち,1,[kuCi],A,(名詞),108,,腰(こし)。,,,(語源)日本語コシ〈腰〉に対応。,[kosi>koCi>kuCi],,,【例】くち たんか゚し ういてぃぐりさぬ,〈腰の筋をたがえて動きにくいよ〉,,,,,,,,,,,,,,,,,,,,
535,1,,くち,2,[kuCi], ,(名詞),108,,櫛(くし)。,,,(語源)日本語クシ〈櫛〉に対応。,,,,【例】くちぬ みー あらんすや,〈櫛の目が粗いね〉,,,,,,,,,,,,,,,,,,,,
536,1,,くちさ,,[kuCisa],,(名詞),108,,苦しみ。,,,,,,,【例】うんにぬ くちさや まー きぶさ=みぬん,〈こんな苦しさはもう味わいたくない〉,んだ ない くちさや あとぅや かなでぃ どぅ ふくんき ない=ひるん,〈あなたの今の苦しみは後に必ず幸福になっていく〉,,,,,,,,,,,,,,,,,,
537,1,,くちさん,,[KuCisaN],,(形容詞),108,,(1)苦しい。,,,,,,,【例】でぃん みぐらにぬ くぬてぃや くちさん,〈金繰りができなくて今月は苦しい〉,,,,,,,,,,,,,,,,,,,,
537,2,,くちさん,,[KuCisaN],,(形容詞),108,,悔しい。,,,,,,,【例】しきん あたらぬんでぃ くちさ  きんな。 いちか いー=くとぅ あんどー,〈試験に合格しないからと悔しがるな。いつかいいことあるよ〉,あらぐ くちさんすや,〈とても悔しいね〉,,,,,,,,,,,,,,,,,,
537,3,,くちさん,,[KuCisaN],,(形容詞),108,,残念だ。,,,(語源)クツイに対応。,,,,【例】あがみんか゚ んどぅ=くとぅ ‘てぃー=とぅらぬび く ちさん,〈子供が言うことを聞かないのでとても残念だ〉,,,,,,,,,,,,,,,,,,,,
538,1,,くちどぅぐい,,[kuCidugui],B,(名詞),109,,仕事や行事を終えたあとの慰労会(いろうかい)。,,,,,,,【例】ばぐ=むたかい たー  はたぎぬ しかまぬ くちどぅぐいにや ひびだどぅ くるし はい=ぶ たる,〈法事などを手伝う大勢の人の食事を作るときや田畑の仕事の慰労会では山羊を潰して食べていた〉,,,,,,,,,,,,,,,,,,,,
539,1,,くちぶに,,[kuCibuni],A,(名詞),109,,(1)腰。,,,,,,,【例】くちぶに たんか゚し=みぬんすやー,〈ぎっくり腰になってしまった〉,,,,,,,,,,,,,,,,,,,,
539,2,,くちぶに,,[kuCibuni],A,(名詞),109,,背中。,,,(語源)日本語コシボネ〈腰骨〉に対応。,[kosibone>koCibone>ku Cibuni],,,【例】くちぶに きゃぬ かてぃ=とぅらしんに,〈背中がかゆい、掻いてくれ〉,,,,,,,,,,,,,,,,,,,,
